,precision,recall,f1-score,support
0,0.9647374472978153,0.9897758552890287,0.9770962732919255,2543.0
1,0.9395348837209302,0.8145161290322581,0.8725701943844493,496.0
accuracy,0.9611714379730174,0.9611714379730174,0.9611714379730174,0.9611714379730174
macro avg,0.9521361655093727,0.9021459921606434,0.9248332338381874,3039.0
weighted avg,0.9606240970068858,0.9611714379730174,0.9600364065140025,3039.0
