,precision,recall,f1-score,support
0,0.8980635732553891,0.9665749115218246,0.931060606060606,2543.0
1,0.7185430463576159,0.4375,0.543859649122807,496.0
accuracy,0.8802237578150708,0.8802237578150708,0.8802237578150708,0.8802237578150708
macro avg,0.8083033098065024,0.7020374557609124,0.7374601275917065,3039.0
weighted avg,0.8687637439229458,0.8802237578150708,0.8678649250335746,3039.0
